,,Sig Corr,815.279578,864.6719276,844.5639985,883.5463164,846.9200922,818.8295918,843.5363729,778.7820248,787.796654,821.6398898,806.3272264,795.9453293,812.8977191,820.6364068,850.4515539,789.6060434,827.5970381,800.0585589,817.700381,836.6163347,860.986664,811.9249108,816.4473294,862.4381941,835.6094628,814.252882,800.3799648,859.518086,811.327088,842.8161401,838.189002,833.0308825,849.9894252,852.1632273,856.9108783,843.9908054,982.0050679,977.9870794,978.599969,975.8806854,980.3706302,971.7836068,970.6094671,973.8129122,970.7790173,970.3623522,974.8094628,975.7383392,978.3046241,973.0880236,977.1297032,978.2747862,975.9349327,977.7446965,978.4550128,975.5162875,984.7479246,983.7279811,985.3093284,983.9175855,981.1793877,979.0310999,981.0125533,978.2854615,977.6911439,978.3311059,980.7429258,981.753688,981.0848584,978.7920199,979.7840781,980.885094,981.2496165,980.2994209,980.3930892,982.2173675,977.1172193,980.263984,977.7814384,980.3723309,978.0244817,978.9261689,978.3435506,978.9973806,979.0708673,978.1118295,977.8028341,980.1687124,980.0243535,980.617906,979.0007384,977.7811581,979.0485012,977.702269,977.7677434,980.8627247,963.9936481,963.7813356,972.8125927,966.4414942,963.8416831,971.8078439,964.95815,963.3135804,969.2963757,964.2432767,976.2847028,963.3466012,966.9738353,970.2556864,965.7099874,968.1411097,969.2883061,968.298607,968.2147284,962.5957387
PCXXX(16:00/22:04),PCXXX,C46H84NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708010212,0.953247205,0.84011278,0.674779381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:00/22:05)a,PCXXX,C46H82NO8P,1.450405772,1.308646558,1.886956048,1.347716594,1.755548468,2.343253493,1.705625095,2.856951444,2.259107709,2.457490895,2.359484844,3.381801979,2.521886887,2.522503722,2.197982611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:00/22:05)b,PCXXX,C46H82NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:00/22:06)a,PCXXX,C46H80NO8P,8.202069497,8.258337652,10.51772028,7.697796366,10.03731063,8.184709621,6.910965084,8.214916813,9.397403012,7.607995058,9.941031568,10.52059205,9.399876173,11.47392633,9.73659873,15.86974629,13.58249306,18.24555089,19.78876042,17.2771215,13.75682858,15.73321649,18.2759972,9.13766966,18.86930978,16.89975004,23.26241055,14.14899412,29.9243863,20.97215236,27.41849258,21.68170022,26.55938073,30.30152619,28.96451588,32.16741694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:00/22:06)b,PCXXX,C46H80NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:00/24:00),PCXXX,C48H96NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:01/16:01)a,PCXXX,C40H76NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:01/16:01)b,PCXXX,C40H76NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:01/18:02),PCXXX,C42H78NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:01/18:02)a,PCXXX,C42H78NO8P,0.63723162,0,0.923733452,0.535655026,0.719382683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.627328579,1.544162696,1.976406185,1.580586629,0.858204724,1.127942549,0.587761088,0.76857756,1.446610364,0.924376779,1.126208018,1.08070884,0.64139317,0.644487758,0.582080864,0.736291987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:01/18:02)b,PCXXX,C42H78NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:01/20:04),PCXXX,C44H78NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:01/20:05),PCXXX,C44H76NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.012046161,0.587527614,0.563623872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:01/22:06),PCXXX,C46H78NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(16:02/22:06),PCXXX,C46H76NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(17:00/18:02),PCXXX,C43H82NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(17:00/20:04),PCXXX,C45H82NO8P,0,0,0,0,0,0.554866904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701911334,0.69280027,0.8032827,0.514391133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(17:00/22:06),PCXXX,C47H82NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(17:01/20:04),PCXXX,C45H80NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(17:01/22:06),PCXXX,C47H80NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/18:01),PCXXX,C44H86NO8P,1.455198328,2.581892291,2.011872425,1.853789448,1.470639097,0.942156705,0.812226631,1.198120207,0.811740883,0.870546466,0.894070783,1.025069767,1.069364112,0.827176167,0.69412858,0.624605044,0.680598183,0.760933834,0.795137075,0.725554402,1.867612098,4.231097066,2.934852015,1.99809664,1.018551165,1.451056692,0.969363558,0.91116269,1.901198758,1.642521643,1.443783511,1.384333013,0.922795026,0.992908039,1.026355466,0.83338736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/18:02),PCXXX,C44H84NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/18:02)a,PCXXX,C44H84NO8P,10.8293264,12.94116828,12.10100766,10.86900116,10.04770497,4.075921974,4.090945515,4.961794612,4.234466846,4.2360378,8.016780077,8.090463243,7.597054312,7.312857268,6.206121875,8.265636787,8.578721384,8.752738223,8.976256331,8.498963573,8.092390976,19.2591371,13.3531518,8.564845924,3.868618441,5.71014195,3.444718067,2.083056399,6.084055899,6.348992847,7.568174147,8.380510231,5.356178075,4.251833676,5.038816496,5.460170125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/18:02)b,PCXXX,C44H84NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.173043664,15.08706362,9.943224755,3.868420035,4.588672006,5.495930983,5.562344014,3.440624277,11.19493613,9.254351621,9.935541196,10.42563757,6.558127959,7.231746527,6.843844952,6.702557518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/20:02),PCXXX,C46H88NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/20:03)a,PCXXX,C46H86NO8P,1.068205004,1.340329705,1.239589781,1.151207881,0.881429942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.458391668,2.711632995,2.020471116,1.186578635,0,0,0,0,0.753341468,0.567776686,0.565091723,0,0,0,0.501118148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/20:03)b,PCXXX,C46H86NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142451644,1.684530664,0.946858634,0.512945209,0,0,0,0,0.734534434,0.635057625,0.555581277,0,0,0,0.530793823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/20:04)a,PCXXX,C46H84NO8P,2.549884991,4.915836728,3.4151859,3.759053073,4.082650874,13.99868497,10.97379991,15.59381255,13.24460029,12.51510338,1.077458085,1.022857075,0.987348434,1.153558872,0.822999076,0,0.559559618,0.556075126,0.677143638,0.567762484,4.694546473,9.771566474,8.133405503,5.659735353,19.9943597,17.57736233,18.35443963,12.67840618,3.047210681,2.148406531,2.530359575,1.988318242,0.798655307,0.965348824,0.9332717,1.040470166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/20:04)b,PCXXX,C46H84NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/20:05),PCXXX,C46H82NO8P,0,0,0,0,0,0.961560135,0.821486363,1.204673447,1.056243131,1.098195367,3.01262329,3.55854745,3.170206728,2.605230207,2.019472855,0.597086655,0.656957367,0.783318883,0.766435245,0.679334469,0.536842741,1.106682532,0.523304639,0,1.668622039,2.371004592,2.256308818,1.362647945,6.723573585,5.519648312,5.242671407,4.051508349,1.497832396,1.836860464,1.510140267,1.521328653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/22:04)a,PCXXX,C48H88NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/22:04)b,PCXXX,C48H88NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/22:05)a,PCXXX,C48H86NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17039432,1.133969963,1.007036935,0.947409169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/22:05)b,PCXXX,C48H86NO8P,0,0,0,0,0,0,0,0,0,0,0.602469282,0.70700887,0.932138252,0.620991876,0.539600301,0,0,0,0,0,0,0,0,0,0,0.655838378,0.555871629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:00/22:06),PCXXX,C48H84NO8P,1.472830476,2.816035006,1.650532558,1.94816876,1.828595241,1.907900149,1.657801559,2.06993607,2.225619079,1.928274827,2.112507279,2.307324432,2.046984131,2.43973289,2.262828383,3.125613012,3.50159483,3.75882059,3.767275817,4.404137095,2.396960563,5.351011004,3.967220797,2.683572168,3.099272049,3.755664284,4.283863453,2.492161994,5.568020723,5.033764365,5.162704154,4.772066555,6.574273057,6.596986977,5.880774645,5.833164321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/18:01),PCXXX,C44H84NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/18:02),PCXXX,C44H82NO8P,3.682042754,3.157540492,4.832079094,3.311665175,3.509058499,0.61192011,0,0.719759814,0,0,2.016406611,2.062228384,1.566408054,1.384842703,0.759863823,1.775663901,1.467198086,1.855354917,1.817746861,1.423179755,3.815218048,5.283511654,3.586153187,2.667145047,0.988288379,0.88987436,0.88533846,0.730477056,3.94582569,2.566565073,2.433726108,1.831739947,2.315933947,2.545758182,2.624858927,1.790048197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/20:01),PCXXX,C46H88NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/20:03),PCXXX,C46H84NO8P,0,0,0.610121471,0,0,0,0,0,0,0,0.505145724,0.539572893,0.507743295,0,0,0,0,0,0,0,0.905819182,0.821536128,0.732075683,0.597601057,0,0,0,0,1.151822865,0.965323148,0.686862124,0.727649707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/20:04),PCXXX,C46H82NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.060239707,3.039695179,2.844337542,2.948713799,3.07815758,3.553079512,2.799086075,2.19461193,4.836980707,3.942935318,4.462937182,3.600555665,0.920742213,0.517851226,0.561846331,0.754108857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/20:05),PCXXX,C46H80NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/22:04),PCXXX,C48H86NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/22:05),PCXXX,C48H84NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(18:01/22:06)a,PCXXX,C48H82NO8P,0.65399442,0.729304358,0.863420178,0,0.611227636,0,0,0,0,0,0.568136078,0.582666407,0,0,0,0.510210801,0.592528103,0.66800037,0.779072618,0.613021004,1.15011063,1.440574205,1.183909153,0.973936991,0.752979784,0.796831196,0.974995174,0,1.879486253,1.306339176,1.339474411,0.813929641,1.748331091,1.541666342,1.801979754,1.447084401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
